rep,model,calib,estimator,estimate,ece,r2g0,ATE_true
1,rf,iso,AIPW-N,4.53678798935978,0.05621487177291995,0.5751576444865097,5.363237518910742
1,boost,raw,IPW,53.17685431640399,0.16149618793881018,0.5751576444865097,5.363237518910742
1,boost,raw,IPW-N,1.7641324095808386,0.16149618793881018,0.5751576444865097,5.363237518910742
1,boost,raw,AIPW,1.022135882541583,0.16149618793881018,0.5751576444865097,5.363237518910742
1,boost,raw,AIPW-N,4.507787614727606,0.16149618793881018,0.5751576444865097,5.363237518910742
1,boost,platt,IPW,8.873227052653105,0.03415471023900081,0.5751576444865097,5.363237518910742
1,boost,platt,IPW-N,6.063158458787166,0.03415471023900081,0.5751576444865097,5.363237518910742
1,boost,platt,AIPW,5.539997504014352,0.03415471023900081,0.5751576444865097,5.363237518910742
1,boost,platt,AIPW-N,5.578967401222815,0.03415471023900081,0.5751576444865097,5.363237518910742
1,boost,beta,IPW,6.580217175377124,0.038566424581920396,0.5751576444865097,5.363237518910742
1,boost,beta,IPW-N,5.835119026060575,0.038566424581920396,0.5751576444865097,5.363237518910742
1,boost,beta,AIPW,5.450797699332924,0.038566424581920396,0.5751576444865097,5.363237518910742
1,boost,beta,AIPW-N,5.497711201871508,0.038566424581920396,0.5751576444865097,5.363237518910742
1,boost,iso,IPW,10.917384450516758,0.0538492707364787,0.5751576444865097,5.363237518910742
1,boost,iso,IPW-N,5.659055842199235,0.0538492707364787,0.5751576444865097,5.363237518910742
1,boost,iso,AIPW,6.067365416134629,0.0538492707364787,0.5751576444865097,5.363237518910742
1,boost,iso,AIPW-N,6.024147204233928,0.0538492707364787,0.5751576444865097,5.363237518910742
2,logit,raw,IPW,32.56892362456859,0.2235665810651734,0.5494753110561024,5.363237518910742
2,logit,raw,IPW-N,3.096131094472632,0.2235665810651734,0.5494753110561024,5.363237518910742
2,logit,raw,AIPW,-2.026422979118729,0.2235665810651734,0.5494753110561024,5.363237518910742
2,logit,raw,AIPW-N,4.7399438967443555,0.2235665810651734,0.5494753110561024,5.363237518910742
2,logit,platt,IPW,10.04090093233035,0.03562555343704048,0.5494753110561024,5.363237518910742
2,logit,platt,IPW-N,6.501937632702349,0.03562555343704048,0.5494753110561024,5.363237518910742
2,logit,platt,AIPW,5.2077932274203755,0.03562555343704048,0.5494753110561024,5.363237518910742
2,logit,platt,AIPW-N,5.308221176214688,0.03562555343704048,0.5494753110561024,5.363237518910742
2,logit,beta,IPW,7.320307760881811,0.053490396317120825,0.5494753110561024,5.363237518910742
2,logit,beta,IPW-N,6.1949623249980945,0.053490396317120825,0.5494753110561024,5.363237518910742
2,logit,beta,AIPW,4.850926270201578,0.053490396317120825,0.5494753110561024,5.363237518910742
2,logit,beta,AIPW-N,4.949759218842978,0.053490396317120825,0.5494753110561024,5.363237518910742
2,logit,iso,IPW,12.661351725204545,0.07285092183086579,0.5494753110561024,5.363237518910742
2,logit,iso,IPW-N,4.549992729698955,0.07285092183086579,0.5494753110561024,5.363237518910742
2,logit,iso,AIPW,3.9849843770193307,0.07285092183086579,0.5494753110561024,5.363237518910742
2,logit,iso,AIPW-N,4.493017631348399,0.07285092183086579,0.5494753110561024,5.363237518910742
2,rf,raw,IPW,5.313949755761561,0.05277416666666668,0.5494753110561024,5.363237518910742
2,rf,raw,IPW-N,6.261289845506374,0.05277416666666668,0.5494753110561024,5.363237518910742
2,rf,raw,AIPW,5.440575017866374,0.05277416666666668,0.5494753110561024,5.363237518910742
2,rf,raw,AIPW-N,5.388933045748486,0.05277416666666668,0.5494753110561024,5.363237518910742
2,rf,platt,IPW,7.2944323505087585,0.020019727109918818,0.5494753110561024,5.363237518910742
2,rf,platt,IPW-N,4.772921120609533,0.020019727109918818,0.5494753110561024,5.363237518910742
2,rf,platt,AIPW,4.990438337438098,0.020019727109918818,0.5494753110561024,5.363237518910742
2,rf,platt,AIPW-N,5.039399001953138,0.020019727109918818,0.5494753110561024,5.363237518910742
2,rf,beta,IPW,5.620302361294441,0.03025877241864632,0.5494753110561024,5.363237518910742
2,rf,beta,IPW-N,4.65477392535643,0.03025877241864632,0.5494753110561024,5.363237518910742
2,rf,beta,AIPW,4.782324339850486,0.03025877241864632,0.5494753110561024,5.363237518910742
